Company_ID,Company_Name,Foundation_Year,Closing_Year,Duration,Status,Current_Status,Notes,Years,Employee_Number,Revenue,Net_Income,Assets,long_Term_Debt,Total_Liabilities,Holders_Equity,Avg_Stock_Price,Avg_TTM_Net_EPS,Avg_PE_Ratio
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2023,47000,24092,-750,7527,2938,8169,-642,2.14,-20.2,-0.11
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2022,53000,24568,-538,8529,2748,8430,99,6.74,-13.54,-0.5
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2021,50000,24043,-91,9335,3080,8720,615,16.98,-1.98,-8.58
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2020,48000,21928,-452,9452,3097,8778,675,13.24,-7.57,-1.75
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2019,51000,21640,-422,7591,3479,6405,1187,9.5,-9.52,-1
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2018,59000,21529,943,8989,3371,7388,1601,30.25,16.65,1.82
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2017,87000,22928,4,11594,3273,10980,614,69.2,0.8,86.5
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2016,88000,20770,165,11277,6967,10696,581,155.7,2.55,61.06
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2015,89000,26528,2109,8777,5459,8720,57,164.15,39.6,4.15
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2014,89000,25526,215,6945,5708,9059,-2114,133.25,4.95,26.92
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2013,89000,25392,107,7079,5996,9538,-2459,69.8,4.85,14.39
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2012,90000,26121,-379,7364,6249,9951,-2587,25.2,-6.55,-3.85
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2011,91800,25215,-565,7556,6157,9767,-2211,23.4,-11.35,-2.06
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2010,97500,25669,-516,8050,6319,9723,-1674,22.4,-12.35,-1.81
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2009,103000,26289,-2937,8327,5971,9526,-1200,25.6,-60.4,-0.42
2,Universal Display (Joled),1994,0,0,Active,Active,,2025,0,0,0,0,0,0,0,154.36,0,0
2,Universal Display (Joled),1994,0,0,Active,Active,,2024,468,648,222,1832,0,216,1617,183.43,4.72,38.86
2,Universal Display (Joled),1994,0,0,Active,Active,,2023,456,576,202,1669,0,222,1447,160.37,4.27,37.56
2,Universal Display (Joled),1994,0,0,Active,Active,,2022,445,617,209,1533,0,257,1275,115.28,4.02,28.68
2,Universal Display (Joled),1994,0,0,Active,Active,,2021,409,554,184,1467,0,367,1100,193.4,3.72,51.99
2,Universal Display (Joled),1994,0,0,Active,Active,,2020,350,429,132,1269,0,357,913,167.77,2.56,65.54
2,Universal Display (Joled),1994,0,0,Active,Active,,2019,311,405,137,1120,0,309,811,172.72,2.48,69.65
2,Universal Display (Joled),1994,0,0,Active,Active,,2018,267,247,58,933,0,243,691,96.04,1.55,61.96
2,Universal Display (Joled),1994,0,0,Active,Active,,2017,224,336,102,780,0,121,659,119.57,1.79,66.8
2,Universal Display (Joled),1994,0,0,Active,Active,,2016,203,199,47,628,0,99,528,56.2,0.81,69.38
2,Universal Display (Joled),1994,0,0,Active,Active,,2015,154,191,15,559,0,93,467,44.92,0.38,118.21
2,Universal Display (Joled),1994,0,0,Active,Active,,2014,145,191,42,490,0,41,449,29.91,1.61,18.58
2,Universal Display (Joled),1994,0,0,Active,Active,,2013,124,147,74,463,0,35,428,29.8,0.6,49.67
2,Universal Display (Joled),1994,0,0,Active,Active,,2012,117,83,10,386,0,35,350,31.84,0.26,122.46
2,Universal Display (Joled),1994,0,0,Active,Active,,2011,90,61,3,374,0,32,342,42.02,-0.47,-89.4
2,Universal Display (Joled),1994,0,0,Active,Active,,2010,86,31,-20,92,0,35,57,20.17,-0.48,-42.02
