Company_ID,Company_Name,Foundation_Year,Closing_Year,Duration,Status,Current_Status,Notes,Years, Employee_Number , Revenue , Net_Income , Assets , long_Term_Debt , Total_Liabilities , Holders_Equity , Avg_Stock_Price , Avg_TTM_Net_EPS , Avg_PE_Ratio 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2023,"$47,000.00 ","$24,092.00 ",($750.00),"$7,527.00 ","$2,938.00 ","$8,169.00 ",($642.00),$2.14 ,($20.20),($0.11)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2022,"$53,000.00 ","$24,568.00 ",($538.00),"$8,529.00 ","$2,748.00 ","$8,430.00 ",$99.00 ,$6.74 ,($13.54),($0.50)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2021,"$50,000.00 ","$24,043.00 ",($91.00),"$9,335.00 ","$3,080.00 ","$8,720.00 ",$615.00 ,$16.98 ,($1.98),($8.58)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2020,"$48,000.00 ","$21,928.00 ",($452.00),"$9,452.00 ","$3,097.00 ","$8,778.00 ",$675.00 ,$13.24 ,($7.57),($1.75)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2019,"$51,000.00 ","$21,640.00 ",($422.00),"$7,591.00 ","$3,479.00 ","$6,405.00 ","$1,187.00 ",$9.50 ,($9.52),($1.00)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2018,"$59,000.00 ","$21,529.00 ",$943.00 ,"$8,989.00 ","$3,371.00 ","$7,388.00 ","$1,601.00 ",$30.25 ,$16.65 ,$1.82 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2017,"$87,000.00 ","$22,928.00 ",$4.00 ,"$11,594.00 ","$3,273.00 ","$10,980.00 ",$614.00 ,$69.20 ,$0.80 ,$86.50 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2016,"$88,000.00 ","$20,770.00 ",$165.00 ,"$11,277.00 ","$6,967.00 ","$10,696.00 ",$581.00 ,$155.70 ,$2.55 ,$61.06 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2015,"$89,000.00 ","$26,528.00 ","$2,109.00 ","$8,777.00 ","$5,459.00 ","$8,720.00 ",$57.00 ,$164.15 ,$39.60 ,$4.15 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2014,"$89,000.00 ","$25,526.00 ",$215.00 ,"$6,945.00 ","$5,708.00 ","$9,059.00 ","($2,114.00)",$133.25 ,$4.95 ,$26.92 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2013,"$89,000.00 ","$25,392.00 ",$107.00 ,"$7,079.00 ","$5,996.00 ","$9,538.00 ","($2,459.00)",$69.80 ,$4.85 ,$14.39 
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2012,"$90,000.00 ","$26,121.00 ",($379.00),"$7,364.00 ","$6,249.00 ","$9,951.00 ","($2,587.00)",$25.20 ,($6.55),($3.85)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2011,"$91,800.00 ","$25,215.00 ",($565.00),"$7,556.00 ","$6,157.00 ","$9,767.00 ","($2,211.00)",$23.40 ,($11.35),($2.06)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2010,"$97,500.00 ","$25,669.00 ",($516.00),"$8,050.00 ","$6,319.00 ","$9,723.00 ","($1,674.00)",$22.40 ,($12.35),($1.81)
1,Rite Aid,1962,2023,61,Defunct,Re_Opened,Bankruptcy protection 2023,2009,"$103,000.00 ","$26,289.00 ","($2,937.00)","$8,327.00 ","$5,971.00 ","$9,526.00 ","($1,200.00)",$25.60 ,($60.40),($0.42)
2,Universal Display (Joled),1994,0,0,Active,Active,,2025, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$154.36 , $-   , $-   
2,Universal Display (Joled),1994,0,0,Active,Active,,2024,$468.00 ,$648.00 ,$222.00 ,"$1,832.00 ", $-   ,$216.00 ,"$1,617.00 ",$183.43 ,$4.72 ,$38.86 
2,Universal Display (Joled),1994,0,0,Active,Active,,2023,$456.00 ,$576.00 ,$202.00 ,"$1,669.00 ", $-   ,$222.00 ,"$1,447.00 ",$160.37 ,$4.27 ,$37.56 
2,Universal Display (Joled),1994,0,0,Active,Active,,2022,$445.00 ,$617.00 ,$209.00 ,"$1,533.00 ", $-   ,$257.00 ,"$1,275.00 ",$115.28 ,$4.02 ,$28.68 
2,Universal Display (Joled),1994,0,0,Active,Active,,2021,$409.00 ,$554.00 ,$184.00 ,"$1,467.00 ", $-   ,$367.00 ,"$1,100.00 ",$193.40 ,$3.72 ,$51.99 
2,Universal Display (Joled),1994,0,0,Active,Active,,2020,$350.00 ,$429.00 ,$132.00 ,"$1,269.00 ", $-   ,$357.00 ,$913.00 ,$167.77 ,$2.56 ,$65.54 
2,Universal Display (Joled),1994,0,0,Active,Active,,2019,$311.00 ,$405.00 ,$137.00 ,"$1,120.00 ", $-   ,$309.00 ,$811.00 ,$172.72 ,$2.48 ,$69.65 
2,Universal Display (Joled),1994,0,0,Active,Active,,2018,$267.00 ,$247.00 ,$58.00 ,$933.00 , $-   ,$243.00 ,$691.00 ,$96.04 ,$1.55 ,$61.96 
2,Universal Display (Joled),1994,0,0,Active,Active,,2017,$224.00 ,$336.00 ,$102.00 ,$780.00 , $-   ,$121.00 ,$659.00 ,$119.57 ,$1.79 ,$66.80 
2,Universal Display (Joled),1994,0,0,Active,Active,,2016,$203.00 ,$199.00 ,$47.00 ,$628.00 , $-   ,$99.00 ,$528.00 ,$56.20 ,$0.81 ,$69.38 
2,Universal Display (Joled),1994,0,0,Active,Active,,2015,$154.00 ,$191.00 ,$15.00 ,$559.00 , $-   ,$93.00 ,$467.00 ,$44.92 ,$0.38 ,$118.21 
2,Universal Display (Joled),1994,0,0,Active,Active,,2014,$145.00 ,$191.00 ,$42.00 ,$490.00 , $-   ,$41.00 ,$449.00 ,$29.91 ,$1.61 ,$18.58 
2,Universal Display (Joled),1994,0,0,Active,Active,,2013,$124.00 ,$147.00 ,$74.00 ,$463.00 , $-   ,$35.00 ,$428.00 ,$29.80 ,$0.60 ,$49.67 
2,Universal Display (Joled),1994,0,0,Active,Active,,2012,$117.00 ,$83.00 ,$10.00 ,$386.00 , $-   ,$35.00 ,$350.00 ,$31.84 ,$0.26 ,$122.46 
2,Universal Display (Joled),1994,0,0,Active,Active,,2011,$90.00 ,$61.00 ,$3.00 ,$374.00 , $-   ,$32.00 ,$342.00 ,$42.02 ,($0.47),($89.40)
2,Universal Display (Joled),1994,0,0,Active,Active,,2010,$86.00 ,$31.00 ,($20.00),$92.00 , $-   ,$35.00 ,$57.00 ,$20.17 ,($0.48),($42.02)
2,Universal Display (Joled),1994,0,0,Active,Active,,2009,$84.00 ,$16.00 ,($21.00),$80.00 , $-   ,$21.00 ,$60.00 ,$11.89 ,($0.56),($21.23)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2025, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$32.53 , $-   , $-   
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2024,"$63,000.00 ","$17,241.00 ",$747.00 ,"$42,232.00 ","$6,362.00 ","$38,546.00 ","$3,685.00 ",$41.35 ,$2.61 ,$15.84 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2023,"$63,000.00 ","$16,164.00 ","$1,142.00 ","$42,369.00 ","$6,344.00 ","$38,034.00 ","$4,334.00 ",$42.44 ,$2.96 ,$14.34 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2022,"$64,000.00 ","$13,127.00 ","$1,473.00 ","$45,692.00 ","$7,433.00 ","$40,482.00 ","$5,210.00 ",$33.53 ,$4.13 ,$8.12 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2021,"$69,000.00 ","$9,680.00 ","$1,254.00 ","$40,899.00 ","$11,771.00 ","$29,922.00 ","$10,977.00 ",$42.15 ,($0.79),($53.35)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2020,"$52,000.00 ","$5,162.00 ","($1,033.00)","$36,495.00 ","$12,377.00 ","$25,315.00 ","$11,180.00 ",$20.45 ,$2.53 ,$8.08 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2019,"$70,000.00 ","$12,900.00 ","$2,049.00 ","$33,876.00 ","$11,169.00 ","$21,213.00 ","$12,663.00 ",$28.37 ,$1.19 ,$23.84 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2018,"$72,000.00 ","$11,763.00 ",$445.00 ,"$30,211.00 ","$15,088.00 ","$19,741.00 ","$10,470.00 ",$28.06 ,$2.69 ,$10.43 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2017,"$68,000.00 ","$10,797.00 ","$1,934.00 ","$29,160.00 ","$12,751.00 ","$17,549.00 ","$11,611.00 ",$29.69 ,$2.07 ,$14.34 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2016,"$69,000.00 ","$9,478.00 ","$1,100.00 ","$28,173.00 ","$12,979.00 ","$18,204.00 ","$9,969.00 ",$23.34 ,$0.28 ,$83.36 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2015,"$59,500.00 ","$9,190.00 ",($448.00),"$25,215.00 ","$12,368.00 ","$17,451.00 ","$7,764.00 ",$18.98 ,($0.32),($59.31)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2014,"$62,000.00 ","$10,082.00 ",($150.00),"$26,594.00 ","$12,805.00 ","$18,966.00 ","$7,628.00 ",$22.74 ,$0.03 ,$758.00 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2013,"$61,700.00 ","$9,810.00 ",($172.00),"$26,085.00 ","$13,447.00 ","$18,224.00 ","$7,860.00 ",$16.96 ,($2.32),($7.31)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2012,"$61,000.00 ","$9,161.00 ","($1,768.00)","$26,285.00 ","$13,589.00 ","$18,169.00 ","$8,116.00 ",$11.12 ,($0.22),($50.55)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2011,"$61,000.00 ","$7,849.00 ","$3,115.00 ","$27,766.00 ","$13,470.00 ","$17,884.00 ","$9,882.00 ",$10.87 ,$3.22 ,$3.38 
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2010,"$61,000.00 ","$6,056.00 ","($1,437.00)","$18,952.00 ","$12,048.00 ","$16,020.00 ","$2,932.00 ",$11.27 ,($3.89),($2.90)
3,Metro-Goldwyn-Mayer (MGM),1924,2021,97,Defunct,Re_Opened,Acquired by Amazon 2022,2009,"$62,000.00 ","$6,011.00 ","($1,292.00)","$22,518.00 ","$12,976.00 ","$18,648.00 ","$3,870.00 ",$8.61 ,($2.90),($2.97)
4,Toys 'R' Us,1948,2018,70,Defunct,Re_Opened,Relaunch underway,2024,"$44,888.00 ",$8.00 ,($19.00),$18.00 , $-   ,$33.00 ,($15.00), $-   , $-   , $-   
4,Toys 'R' Us,1948,2018,70,Defunct,Re_Opened,Relaunch underway,2023, $-   ,$22.00 ,($33.00),$35.00 ,$1.00 ,$33.00 ,$2.00 , $-   , $-   , $-   
4,Toys 'R' Us,1948,2018,70,Defunct,Re_Opened,Relaunch underway,2022, $-   ,$38.00 ,($25.00),$51.00 ,$10.00 ,$17.00 ,$34.00 , $-   , $-   , $-   
4,Toys 'R' Us,1948,2018,70,Defunct,Re_Opened,Relaunch underway,2021, $-   ,$22.00 ,($3.00),$64.00 , $-   ,$8.00 ,$56.00 , $-   , $-   , $-   
4,Toys 'R' Us,1948,2018,70,Defunct,Re_Opened,Relaunch underway,2020,"$64,000.00 ", $-   ,($9.00),$5.00 ,$8.00 ,$14.00 ,($9.00), $-   , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2025, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$6.67 , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2024, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$5.40 ,$0.64 ,$8.44 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2023,"$4,000.00 ","$1,117.00 ",$56.00 ,"$2,355.00 ",$457.00 ,"$1,424.00 ",$931.00 ,$4.21 ,$0.62 ,$6.79 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2022,"$4,200.00 ","$1,205.00 ",$13.00 ,"$2,285.00 ",$316.00 ,"$1,244.00 ","$1,041.00 ",$4.09 ,$0.06 ,$68.17 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2021,"$4,200.00 ","$1,150.00 ",$22.00 ,"$2,171.00 ",$253.00 ,"$1,390.00 ",$781.00 ,$6.92 ,($3.25),($2.13)
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2020,"$4,500.00 ","$1,029.00 ",($561.00),"$1,248.00 ",$17.00 ,"$1,171.00 ",$77.00 ,$5.23 ,($5.28),($0.99)
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2019,"$4,922.00 ","$1,242.00 ",$96.00 ,"$1,415.00 ",$109.00 ,"$1,316.00 ",$99.00 ,$3.16 ,$2.92 ,$1.08 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2018,"$5,400.00 ","$1,320.00 ",($36.00),"$1,510.00 ",$5.00 ,"$1,513.00 ",($3.00),$3.70 ,$1.13 ,$3.27 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2017,"$5,800.00 ","$1,386.00 ",$75.00 ,"$1,707.00 ",$399.00 ,"$1,650.00 ",$57.00 ,$7.76 ,$0.50 ,$15.52 
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2016,"$6,100.00 ","$1,643.00 ",$15.00 ,"$1,776.00 ",$405.00 ,"$1,849.00 ",($73.00),$14.36 ,($0.06),($239.33)
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2015,"$6,400.00 ","$1,803.00 ",($80.00),"$2,138.00 ",$679.00 ,"$2,035.00 ",$103.00 ,$15.99 ,($2.86),($5.59)
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2014,"$7,300.00 ","$2,046.00 ",($123.00),"$2,556.00 ",$672.00 ,"$2,257.00 ",$299.00 ,$22.72 ,($1.56),($14.56)
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2013,"$8,800.00 ","$2,358.00 ","$1,985.00 ","$3,200.00 ",$674.00 ,"$2,552.00 ",$648.00 , $-   , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2012,"$13,000.00 ","$2,719.00 ","($1,379.00)","$4,321.00 ",$740.00 ,"$7,998.00 ","($3,677.00)", $-   , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2011,"$17,100.00 ","$3,585.00 ",($764.00),"$4,678.00 ","$1,363.00 ","$7,028.00 ","($2,350.00)", $-   , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2010,"$18,800.00 ","$5,993.00 ",($687.00),"$6,226.00 ","$1,195.00 ","$7,301.00 ","($1,075.00)", $-   , $-   , $-   
5,Eastman Kodak,1888,2012,124,Defunct,Re_Opened,Restructured after bankruptcy,2009,"$20,250.00 ","$7,609.00 ",($210.00),"$7,691.00 ","$1,129.00 ","$7,724.00 ",($33.00), $-   , $-   , $-   
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2020, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$3.56 , $-   , $-   
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2019,"$18,000.00 ","$1,553.00 ",($199.00),$656.00 ,$246.00 ,$567.00 ,$90.00 ,$12.86 ,($65.06),($0.20)
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2018,"$18,500.00 ","$1,799.00 ",$12.00 ,$772.00 ,$198.00 ,$495.00 ,$278.00 ,$43.80 ,($10.85),($4.04)
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2017,"$20,500.00 ","$1,828.00 ",$30.00 ,$843.00 ,$199.00 ,$551.00 ,$292.00 ,$99.94 ,$7.15 ,$13.98 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2016,"$22,000.00 ","$1,892.00 ",$40.00 ,$819.00 ,$200.00 ,$534.00 ,$285.00 ,$94.95 ,$6.65 ,$14.28 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2015,"$24,000.00 ","$1,885.00 ",$75.00 ,$907.00 ,$201.00 ,$570.00 ,$337.00 ,$181.72 ,$14.45 ,$12.58 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2014,"$22,200.00 ","$1,791.00 ",$108.00 ,$804.00 ,$10.00 ,$354.00 ,$449.00 ,$282.74 ,$19.15 ,$14.76 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2013,"$21,400.00 ","$1,705.00 ",$129.00 ,$857.00 ,$10.00 ,$320.00 ,$537.00 ,$380.06 ,$23.95 ,$15.87 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2012,"$19,700.00 ","$1,534.00 ",$169.00 ,$823.00 ,$10.00 ,$330.00 ,$494.00 ,$298.16 ,$31.85 ,$9.36 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2011,"$17,000.00 ","$1,396.00 ",$100.00 ,$744.00 ,$10.00 ,$331.00 ,$413.00 ,$193.22 ,$18.10 ,$10.68 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2010,"$16,200.00 ","$1,291.00 ",$87.00 ,$643.00 ,$19.00 ,$340.00 ,$303.00 ,$124.95 ,$14.60 ,$8.56 
6,Pier 1 Imports,1962,2020,58,Defunct,Defunct,,2009,"$16,700.00 ","$1,321.00 ",($129.00),$655.00 ,$184.00 ,$511.00 ,$144.00 ,$63.31 ,$3.80 ,$16.66 
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2010,"$25,000.00 ",$3.24 ,"($268,000.00)","$1,183,500.00 ", $-   ,"$1,735,500.00 ","($552,000.00)", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2009, $-   , $-   ,"($558,200.00)","$1,538,300.00 ","$836,000.00 ","$1,852,600.00 ","($314,300.00)", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2008, $-   , $-   ,"($374,100.00)","$2,154,500.00 ","$583,000.00 ","$1,940,200.00 ","$214,300.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2007, $-   , $-   ,"($73,800.00)","$2,733,600.00 ","$665,600.00 ","$2,077,900.00 ","$655,700.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2006, $-   , $-   ,"$50,500.00 ","$3,134,600.00 ","$851,000.00 ","$2,411,300.00 ","$723,300.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2005, $-   , $-   ,"($583,900.00)","$3,179,600.00 ","$1,059,400.00 ","$2,548,000.00 ","$631,600.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2004,"$84,300.00 ", $-   ,"($1,248,800.00)","$3,994,600.00 ","$1,044,900.00 ","$2,931,700.00 ","$1,062,900.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2003, $-   , $-   ,"($978,700.00)","$4,822,000.00 ",$700.00 ,"$1,633,600.00 ","$3,188,400.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2002, $-   , $-   ,"($1,621,100.00)","$6,243,800.00 ","$328,900.00 ","$2,076,800.00 ","$4,167,000.00 ", $-   , $-   , $-   
7,Blockbuster,1985,2010,25,Defunct,Defunct,,2001, $-   , $-   ,"($240,300.00)","$7,752,400.00 ","$458,400.00 ","$2,003,700.00 ","$5,748,700.00 ", $-   , $-   , $-   
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2025, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$4.47 , $-   , $-   
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2024,"$2,647.00 ",$853.00 ,($130.00),"$1,395.00 ",$194.00 ,$619.00 ,$776.00 ,$2.62 ,($0.25),($10.48)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2023,"$3,181.00 ",$656.00 ,($734.00),"$1,679.00 ", $-   ,$822.00 ,$857.00 ,$4.62 ,($1.11),($4.16)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2022,"$3,325.00 ",$718.00 ,$12.00 ,"$2,567.00 ",$507.00 ,"$1,011.00 ","$1,556.00 ",$5.93 ,($0.55),($10.78)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2021,"$3,497.00 ",$893.00 ,"($1,104.00)","$2,818.00 ",$720.00 ,"$1,314.00 ","$1,504.00 ",$10.26 ,($1.26),($8.14)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2020,"$3,668.00 ","$1,040.00 ",($152.00),"$3,888.00 ", $-   ,"$1,359.00 ","$2,529.00 ",$5.22 ,($1.13),($4.62)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2019,"$3,945.00 ",$904.00 ,$93.00 ,"$3,968.00 ",$665.00 ,"$1,332.00 ","$2,636.00 ",$7.25 ,($0.11),($65.91)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2018,"$3,288.00 ",$932.00 ,$405.00 ,"$3,780.00 ",$782.00 ,"$1,275.00 ","$2,505.00 ",$10.86 ,($0.28),($38.79)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2017,"$4,044.00 ","$1,309.00 ","($1,206.00)","$3,296.00 ",$591.00 ,"$1,239.00 ","$2,057.00 ",$9.39 ,($0.18),($52.17)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2016,"$4,534.00 ","$2,160.00 ",($208.00),"$5,534.00 ","$1,277.00 ","$2,326.00 ","$3,208.00 ",$7.60 ,($2.09),($3.64)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2015,"$6,225.00 ","$3,335.00 ",($304.00),"$6,558.00 ","$1,707.00 ","$3,127.00 ","$3,431.00 ",$9.04 ,($0.68),($13.29)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2014,"$8,057.00 ","$6,813.00 ","($5,873.00)","$7,552.00 ","$1,627.00 ","$3,927.00 ","$3,625.00 ",$9.54 ,($8.58),($1.11)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2013,"$12,700.00 ","$11,073.00 ",($646.00),"$13,165.00 ", $-   ,"$3,705.00 ","$9,460.00 ",$10.94 ,($3.40),($3.22)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2012,"$16,500.00 ","$18,423.00 ","$1,164.00 ","$13,731.00 ", $-   ,"$3,631.00 ","$10,100.00 ",$10.70 ,($0.17),($62.94)
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2011,"$17,500.00 ","$19,907.00 ","$3,411.00 ","$12,875.00 ", $-   ,"$3,937.00 ","$8,938.00 ",$39.85 ,$5.60 ,$7.12 
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2010,"$13,873.00 ","$14,953.00 ","$2,457.00 ","$10,205.00 ", $-   ,"$2,602.00 ","$7,603.00 ",$59.06 ,$4.99 ,$11.84 
8,BlackBerry,1984,0,0,Active,Active,Switched to cybersecurity,2009,"$12,800.00 ","$11,065.00 ","$1,893.00 ","$8,101.00 ", $-   ,"$2,227.00 ","$5,874.00 ",$57.89 ,$3.95 ,$14.66 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2025, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,$5.31 , $-   ,$21.24 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2024,"$80,361.00 ","$20,798.00 ","$1,382.00 ","$42,363.00 ","$3,158.00 ","$19,913.00 ","$22,450.00 ",$3.96 ,$0.14 ,$36.42 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2023,"$86,689.00 ","$24,090.00 ",$720.00 ,"$43,140.00 ","$3,936.00 ","$20,815.00 ","$22,326.00 ",$3.81 ,$0.59 ,$10.81 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2022,"$86,900.00 ","$26,246.00 ","$4,478.00 ","$45,245.00 ","$4,477.00 ","$22,670.00 ","$22,574.00 ",$4.31 ,$0.45 ,$11.06 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2021,"$87,900.00 ","$26,267.00 ","$1,920.00 ","$47,382.00 ","$5,368.00 ","$26,723.00 ","$20,659.00 ",$4.72 ,($0.20),$4.13 
9,Nokia,1865,2014,149,Defunct,Active,Shifted focus to networks,2020,"$92,039.00 ","$24,962.00 ","($2,882.00)","$41,341.00 ","$5,729.00 ","$27,011.00 ","$14,330.00 ",$3.46 ,($0.04),$24.14 
