"company_id","company_name","years","employees_number","status"
1,"Rite Aid",2023,47000,"Defunct"
1,"Rite Aid",2022,53000,"Defunct"
1,"Rite Aid",2021,50000,"Defunct"
1,"Rite Aid",2020,48000,"Defunct"
1,"Rite Aid",2019,51000,"Defunct"
1,"Rite Aid",2018,59000,"Defunct"
1,"Rite Aid",2017,87000,"Defunct"
1,"Rite Aid",2016,88000,"Defunct"
1,"Rite Aid",2015,89000,"Defunct"
1,"Rite Aid",2014,89000,"Defunct"
1,"Rite Aid",2013,89000,"Defunct"
1,"Rite Aid",2012,90000,"Defunct"
1,"Rite Aid",2011,91800,"Defunct"
1,"Rite Aid",2010,97500,"Defunct"
1,"Rite Aid",2009,103000,"Defunct"
2,"Universal Display (Joled)",2024,468,"Defunct"
2,"Universal Display (Joled)",2023,456,"Defunct"
2,"Universal Display (Joled)",2022,445,"Defunct"
2,"Universal Display (Joled)",2021,409,"Defunct"
2,"Universal Display (Joled)",2020,350,"Defunct"
2,"Universal Display (Joled)",2019,311,"Defunct"
2,"Universal Display (Joled)",2018,267,"Defunct"
2,"Universal Display (Joled)",2017,224,"Defunct"
2,"Universal Display (Joled)",2016,203,"Defunct"
2,"Universal Display (Joled)",2015,154,"Defunct"
2,"Universal Display (Joled)",2014,145,"Defunct"
2,"Universal Display (Joled)",2013,124,"Defunct"
2,"Universal Display (Joled)",2012,117,"Defunct"
2,"Universal Display (Joled)",2011,90,"Defunct"
2,"Universal Display (Joled)",2010,86,"Defunct"
2,"Universal Display (Joled)",2009,84,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2024,63000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2023,63000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2022,64000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2021,69000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2020,52000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2019,70000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2018,72000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2017,68000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2016,69000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2015,59500,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2014,62000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2013,61700,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2012,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2011,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2010,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",2009,62000,"Defunct"
5,"Eastman Kodak",2023,4000,"Defunct"
5,"Eastman Kodak",2022,4200,"Defunct"
5,"Eastman Kodak",2021,4200,"Defunct"
5,"Eastman Kodak",2020,4500,"Defunct"
5,"Eastman Kodak",2019,4922,"Defunct"
5,"Eastman Kodak",2018,5400,"Defunct"
5,"Eastman Kodak",2017,5800,"Defunct"
5,"Eastman Kodak",2016,6100,"Defunct"
5,"Eastman Kodak",2015,6400,"Defunct"
5,"Eastman Kodak",2014,7300,"Defunct"
5,"Eastman Kodak",2013,8800,"Defunct"
5,"Eastman Kodak",2012,13000,"Defunct"
5,"Eastman Kodak",2011,17100,"Defunct"
5,"Eastman Kodak",2010,18800,"Defunct"
5,"Eastman Kodak",2009,20250,"Defunct"
6,"Pier 1 Imports",2019,18000,"Defunct"
6,"Pier 1 Imports",2018,18500,"Defunct"
6,"Pier 1 Imports",2017,20500,"Defunct"
6,"Pier 1 Imports",2016,22000,"Defunct"
6,"Pier 1 Imports",2015,24000,"Defunct"
6,"Pier 1 Imports",2014,22200,"Defunct"
6,"Pier 1 Imports",2013,21400,"Defunct"
6,"Pier 1 Imports",2012,19700,"Defunct"
6,"Pier 1 Imports",2011,17000,"Defunct"
6,"Pier 1 Imports",2010,16200,"Defunct"
6,"Pier 1 Imports",2009,16700,"Defunct"
8,"BlackBerry",2024,2647,"Defunct"
8,"BlackBerry",2023,3181,"Defunct"
8,"BlackBerry",2022,3325,"Defunct"
8,"BlackBerry",2021,3497,"Defunct"
8,"BlackBerry",2020,3668,"Defunct"
8,"BlackBerry",2019,3945,"Defunct"
8,"BlackBerry",2018,3288,"Defunct"
8,"BlackBerry",2017,4044,"Defunct"
8,"BlackBerry",2016,4534,"Defunct"
8,"BlackBerry",2015,6225,"Defunct"
8,"BlackBerry",2014,8057,"Defunct"
8,"BlackBerry",2013,12700,"Defunct"
8,"BlackBerry",2012,16500,"Defunct"
8,"BlackBerry",2011,17500,"Defunct"
8,"BlackBerry",2010,13873,"Defunct"
8,"BlackBerry",2009,12800,"Defunct"
60,"CVS Health",2024,3e+05,"Active"
60,"CVS Health",2023,3e+05,"Active"
60,"CVS Health",2022,3e+05,"Active"
60,"CVS Health",2021,3e+05,"Active"
60,"CVS Health",2020,3e+05,"Active"
60,"CVS Health",2019,290000,"Active"
60,"CVS Health",2018,295000,"Active"
60,"CVS Health",2017,246000,"Active"
60,"CVS Health",2016,250000,"Active"
60,"CVS Health",2015,243000,"Active"
60,"CVS Health",2014,217800,"Active"
60,"CVS Health",2013,208000,"Active"
60,"CVS Health",2012,203000,"Active"
60,"CVS Health",2011,202000,"Active"
60,"CVS Health",2010,201000,"Active"
60,"CVS Health",2009,211000,"Active"
61,"LG Display",2023,66418,"Active"
61,"LG Display",2022,69656,"Active"
61,"LG Display",2021,70707,"Active"
61,"LG Display",2020,63360,"Active"
61,"LG Display",2019,60429,"Active"
61,"LG Display",2018,58947,"Active"
61,"LG Display",2017,53891,"Active"
61,"LG Display",2016,49094,"Active"
61,"LG Display",2015,49205,"Active"
61,"LG Display",2014,49421,"Active"
61,"LG Display",2013,51205,"Active"
61,"LG Display",2012,55621,"Active"
61,"LG Display",2011,56029,"Active"
61,"LG Display",2010,46705,"Active"
62,"Lions Gate Entertainment",2024,1717,"Active"
62,"Lions Gate Entertainment",2023,1500,"Active"
62,"Lions Gate Entertainment",2022,1448,"Active"
62,"Lions Gate Entertainment",2021,1466,"Active"
62,"Lions Gate Entertainment",2020,1443,"Active"
62,"Lions Gate Entertainment",2019,1415,"Active"
62,"Lions Gate Entertainment",2018,1686,"Active"
62,"Lions Gate Entertainment",2017,1427,"Active"
62,"Lions Gate Entertainment",2016,795,"Active"
62,"Lions Gate Entertainment",2015,719,"Active"
62,"Lions Gate Entertainment",2014,665,"Active"
62,"Lions Gate Entertainment",2013,636,"Active"
62,"Lions Gate Entertainment",2012,607,"Active"
62,"Lions Gate Entertainment",2011,486,"Active"
62,"Lions Gate Entertainment",2010,497,"Active"
62,"Lions Gate Entertainment",2009,509,"Active"
63,"Walmart",2025,2100000,"Active"
63,"Walmart",2024,2100000,"Active"
63,"Walmart",2023,2100000,"Active"
63,"Walmart",2022,2300000,"Active"
63,"Walmart",2021,2300000,"Active"
63,"Walmart",2020,2200000,"Active"
63,"Walmart",2019,2200000,"Active"
63,"Walmart",2018,2300000,"Active"
63,"Walmart",2017,2300000,"Active"
63,"Walmart",2016,2300000,"Active"
63,"Walmart",2015,2200000,"Active"
63,"Walmart",2014,2200000,"Active"
63,"Walmart",2013,2200000,"Active"
63,"Walmart",2012,2200000,"Active"
63,"Walmart",2011,2100000,"Active"
63,"Walmart",2010,2100000,"Active"
63,"Walmart",2009,2100000,"Active"
65,"Dollar Tree",2024,211826,"Active"
65,"Dollar Tree",2023,207548,"Active"
65,"Dollar Tree",2022,210565,"Active"
65,"Dollar Tree",2021,199327,"Active"
65,"Dollar Tree",2020,193100,"Active"
65,"Dollar Tree",2019,182100,"Active"
65,"Dollar Tree",2018,176100,"Active"
65,"Dollar Tree",2017,176800,"Active"
65,"Dollar Tree",2016,167800,"Active"
65,"Dollar Tree",2015,90000,"Active"
65,"Dollar Tree",2014,87400,"Active"
65,"Dollar Tree",2013,81920,"Active"
65,"Dollar Tree",2012,72770,"Active"
65,"Dollar Tree",2011,63860,"Active"
65,"Dollar Tree",2010,54480,"Active"
65,"Dollar Tree",2009,45840,"Active"
66,"Netflix",2024,14000,"Active"
66,"Netflix",2023,13000,"Active"
66,"Netflix",2022,12800,"Active"
66,"Netflix",2021,11300,"Active"
66,"Netflix",2020,9400,"Active"
66,"Netflix",2019,8600,"Active"
66,"Netflix",2018,7300,"Active"
66,"Netflix",2017,5500,"Active"
66,"Netflix",2016,4700,"Active"
66,"Netflix",2015,3700,"Active"
66,"Netflix",2014,2189,"Active"
66,"Netflix",2013,2022,"Active"
66,"Netflix",2012,2045,"Active"
66,"Netflix",2011,2348,"Active"
66,"Netflix",2010,2180,"Active"
66,"Netflix",2009,1883,"Active"
67,"Apple",2024,164000,"Active"
67,"Apple",2023,161000,"Active"
67,"Apple",2022,164000,"Active"
67,"Apple",2021,154000,"Active"
67,"Apple",2020,147000,"Active"
67,"Apple",2019,137000,"Active"
67,"Apple",2018,132000,"Active"
67,"Apple",2017,123000,"Active"
67,"Apple",2016,116000,"Active"
67,"Apple",2015,110000,"Active"
67,"Apple",2014,97000,"Active"
67,"Apple",2013,84400,"Active"
67,"Apple",2012,76100,"Active"
67,"Apple",2011,63300,"Active"
67,"Apple",2010,49400,"Active"
67,"Apple",2009,36800,"Active"
