"company_id","company_name","years","employees_number","status"
1,"Rite Aid",NA,47000,"Defunct"
1,"Rite Aid",NA,53000,"Defunct"
1,"Rite Aid",NA,50000,"Defunct"
1,"Rite Aid",NA,48000,"Defunct"
1,"Rite Aid",NA,51000,"Defunct"
1,"Rite Aid",NA,59000,"Defunct"
1,"Rite Aid",NA,87000,"Defunct"
1,"Rite Aid",NA,88000,"Defunct"
1,"Rite Aid",NA,89000,"Defunct"
1,"Rite Aid",NA,89000,"Defunct"
1,"Rite Aid",NA,89000,"Defunct"
1,"Rite Aid",NA,90000,"Defunct"
1,"Rite Aid",NA,91800,"Defunct"
1,"Rite Aid",NA,97500,"Defunct"
1,"Rite Aid",NA,103000,"Defunct"
2,"Universal Display (Joled)",NA,468,"Defunct"
2,"Universal Display (Joled)",NA,456,"Defunct"
2,"Universal Display (Joled)",NA,445,"Defunct"
2,"Universal Display (Joled)",NA,409,"Defunct"
2,"Universal Display (Joled)",NA,350,"Defunct"
2,"Universal Display (Joled)",NA,311,"Defunct"
2,"Universal Display (Joled)",NA,267,"Defunct"
2,"Universal Display (Joled)",NA,224,"Defunct"
2,"Universal Display (Joled)",NA,203,"Defunct"
2,"Universal Display (Joled)",NA,154,"Defunct"
2,"Universal Display (Joled)",NA,145,"Defunct"
2,"Universal Display (Joled)",NA,124,"Defunct"
2,"Universal Display (Joled)",NA,117,"Defunct"
2,"Universal Display (Joled)",NA,90,"Defunct"
2,"Universal Display (Joled)",NA,86,"Defunct"
2,"Universal Display (Joled)",NA,84,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,63000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,63000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,64000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,69000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,52000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,70000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,72000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,68000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,69000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,59500,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,62000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,61700,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,61000,"Defunct"
3,"Metro-Goldwyn-Mayer (MGM)",NA,62000,"Defunct"
5,"Eastman Kodak",NA,4000,"Defunct"
5,"Eastman Kodak",NA,4200,"Defunct"
