"company_id","company_name","years","status","revenue","assets","total_liabilities","holders_equity","net_income","long_term_debt"
1,"Rite Aid",NA,"Defunct",24092,7527,8169,-642,-750,2938
1,"Rite Aid",NA,"Defunct",24568,8529,8430,99,-538,2748
1,"Rite Aid",NA,"Defunct",24043,9335,8720,615,-91,3080
1,"Rite Aid",NA,"Defunct",21928,9452,8778,675,-452,3097
1,"Rite Aid",NA,"Defunct",21640,7591,6405,1187,-422,3479
1,"Rite Aid",NA,"Defunct",21529,8989,7388,1601,943,3371
1,"Rite Aid",NA,"Defunct",22928,11594,10980,614,4,3273
1,"Rite Aid",NA,"Defunct",20770,11277,10696,581,165,6967
1,"Rite Aid",NA,"Defunct",26528,8777,8720,57,2109,5459
1,"Rite Aid",NA,"Defunct",25526,6945,9059,-2114,215,5708
1,"Rite Aid",NA,"Defunct",25392,7079,9538,-2459,107,5996
1,"Rite Aid",NA,"Defunct",26121,7364,9951,-2587,-379,6249
1,"Rite Aid",NA,"Defunct",25215,7556,9767,-2211,-565,6157
1,"Rite Aid",NA,"Defunct",25669,8050,9723,-1674,-516,6319
1,"Rite Aid",NA,"Defunct",26289,8327,9526,-1200,-2937,5971
2,"Universal Display (Joled)",NA,"Defunct",648,1832,216,1617,222,0
2,"Universal Display (Joled)",NA,"Defunct",576,1669,222,1447,202,0
2,"Universal Display (Joled)",NA,"Defunct",617,1533,257,1275,209,0
2,"Universal Display (Joled)",NA,"Defunct",554,1467,367,1100,184,0
2,"Universal Display (Joled)",NA,"Defunct",429,1269,357,913,132,0
2,"Universal Display (Joled)",NA,"Defunct",405,1120,309,811,137,0
2,"Universal Display (Joled)",NA,"Defunct",247,933,243,691,58,0
2,"Universal Display (Joled)",NA,"Defunct",336,780,121,659,102,0
2,"Universal Display (Joled)",NA,"Defunct",199,628,99,528,47,0
2,"Universal Display (Joled)",NA,"Defunct",191,559,93,467,15,0
2,"Universal Display (Joled)",NA,"Defunct",191,490,41,449,42,0
2,"Universal Display (Joled)",NA,"Defunct",147,463,35,428,74,0
2,"Universal Display (Joled)",NA,"Defunct",83,386,35,350,10,0
2,"Universal Display (Joled)",NA,"Defunct",61,374,32,342,3,0
2,"Universal Display (Joled)",NA,"Defunct",31,92,35,57,-20,0
2,"Universal Display (Joled)",NA,"Defunct",16,80,21,60,-21,0
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",17241,42232,38546,3685,747,6362
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",16164,42369,38034,4334,1142,6344
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",13127,45692,40482,5210,1473,7433
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9680,40899,29922,10977,1254,11771
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",5162,36495,25315,11180,-1033,12377
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",12900,33876,21213,12663,2049,11169
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",11763,30211,19741,10470,445,15088
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",10797,29160,17549,11611,1934,12751
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9478,28173,18204,9969,1100,12979
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9190,25215,17451,7764,-448,12368
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",10082,26594,18966,7628,-150,12805
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9810,26085,18224,7860,-172,13447
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9161,26285,18169,8116,-1768,13589
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",7849,27766,17884,9882,3115,13470
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",6056,18952,16020,2932,-1437,12048
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",6011,22518,18648,3870,-1292,12976
4,"Toys 'R' Us",NA,"Defunct",8,18,33,-15,-19,0
4,"Toys 'R' Us",NA,"Defunct",22,35,33,2,-33,1
4,"Toys 'R' Us",NA,"Defunct",38,51,17,34,-25,10
4,"Toys 'R' Us",NA,"Defunct",22,64,8,56,-3,0
4,"Toys 'R' Us",NA,"Defunct",0,5,14,-9,-9,8
5,"Eastman Kodak",NA,"Defunct",1117,2355,1424,931,56,457
5,"Eastman Kodak",NA,"Defunct",1205,2285,1244,1041,13,316
5,"Eastman Kodak",NA,"Defunct",1150,2171,1390,781,22,253
5,"Eastman Kodak",NA,"Defunct",1029,1248,1171,77,-561,17
5,"Eastman Kodak",NA,"Defunct",1242,1415,1316,99,96,109
5,"Eastman Kodak",NA,"Defunct",1320,1510,1513,-3,-36,5
5,"Eastman Kodak",NA,"Defunct",1386,1707,1650,57,75,399
5,"Eastman Kodak",NA,"Defunct",1643,1776,1849,-73,15,405
5,"Eastman Kodak",NA,"Defunct",1803,2138,2035,103,-80,679
5,"Eastman Kodak",NA,"Defunct",2046,2556,2257,299,-123,672
5,"Eastman Kodak",NA,"Defunct",2358,3200,2552,648,1985,674
5,"Eastman Kodak",NA,"Defunct",2719,4321,7998,-3677,-1379,740
5,"Eastman Kodak",NA,"Defunct",3585,4678,7028,-2350,-764,1363
5,"Eastman Kodak",NA,"Defunct",5993,6226,7301,-1075,-687,1195
5,"Eastman Kodak",NA,"Defunct",7609,7691,7724,-33,-210,1129
6,"Pier 1 Imports",NA,"Defunct",1553,656,567,90,-199,246
6,"Pier 1 Imports",NA,"Defunct",1799,772,495,278,12,198
6,"Pier 1 Imports",NA,"Defunct",1828,843,551,292,30,199
6,"Pier 1 Imports",NA,"Defunct",1892,819,534,285,40,200
6,"Pier 1 Imports",NA,"Defunct",1885,907,570,337,75,201
6,"Pier 1 Imports",NA,"Defunct",1791,804,354,449,108,10
