"","company_id","company_name","years","Avg_Stock_Price","Avg_TTM_Net_EPS","PE_Ratio","status","year"
"1",1,"Rite Aid",2023,2.14,-20.2,-0.11,"Defunct",NA
"2",1,"Rite Aid",2022,6.74,-13.54,-0.5,"Defunct",NA
"3",1,"Rite Aid",2021,16.98,-1.98,-8.58,"Defunct",NA
"4",1,"Rite Aid",2020,13.24,-7.57,-1.75,"Defunct",NA
"5",1,"Rite Aid",2019,9.5,-9.52,-1,"Defunct",NA
"6",1,"Rite Aid",2018,30.25,16.65,1.82,"Defunct",NA
"7",1,"Rite Aid",2017,69.2,0.8,86.5,"Defunct",NA
"8",1,"Rite Aid",2016,155.7,2.55,61.06,"Defunct",NA
"9",1,"Rite Aid",2015,164.15,39.6,4.15,"Defunct",NA
"10",1,"Rite Aid",2014,133.25,4.95,26.92,"Defunct",NA
"11",1,"Rite Aid",2013,69.8,4.85,14.39,"Defunct",NA
"12",1,"Rite Aid",2012,25.2,-6.55,-3.85,"Defunct",NA
"13",1,"Rite Aid",2011,23.4,-11.35,-2.06,"Defunct",NA
"14",1,"Rite Aid",2010,22.4,-12.35,-1.81,"Defunct",NA
"15",1,"Rite Aid",2009,25.6,-60.4,-0.42,"Defunct",NA
"16",2,"Universal Display (Joled)",2025,154.36,0,0,"Defunct",NA
"17",2,"Universal Display (Joled)",2024,183.43,4.72,38.86,"Defunct",NA
"18",2,"Universal Display (Joled)",2023,160.37,4.27,37.56,"Defunct",NA
"19",2,"Universal Display (Joled)",2022,115.28,4.02,28.68,"Defunct",NA
"20",2,"Universal Display (Joled)",2021,193.4,3.72,51.99,"Defunct",NA
"21",2,"Universal Display (Joled)",2020,167.77,2.56,65.54,"Defunct",NA
"22",2,"Universal Display (Joled)",2019,172.72,2.48,69.65,"Defunct",NA
"23",2,"Universal Display (Joled)",2018,96.04,1.55,61.96,"Defunct",NA
"24",2,"Universal Display (Joled)",2017,119.57,1.79,66.8,"Defunct",NA
"25",2,"Universal Display (Joled)",2016,56.2,0.81,69.38,"Defunct",NA
"26",2,"Universal Display (Joled)",2015,44.92,0.38,118.21,"Defunct",NA
"27",2,"Universal Display (Joled)",2014,29.91,1.61,18.58,"Defunct",NA
"28",2,"Universal Display (Joled)",2013,29.8,0.6,49.67,"Defunct",NA
"29",2,"Universal Display (Joled)",2012,31.84,0.26,122.46,"Defunct",NA
"30",2,"Universal Display (Joled)",2011,42.02,-0.47,-89.4,"Defunct",NA
"31",2,"Universal Display (Joled)",2010,20.17,-0.48,-42.02,"Defunct",NA
"32",2,"Universal Display (Joled)",2009,11.89,-0.56,-21.23,"Defunct",NA
"33",3,"Metro-Goldwyn-Mayer (MGM)",2025,32.53,0,0,"Defunct",NA
"34",3,"Metro-Goldwyn-Mayer (MGM)",2024,41.35,2.61,15.84,"Defunct",NA
"35",3,"Metro-Goldwyn-Mayer (MGM)",2023,42.44,2.96,14.34,"Defunct",NA
"36",3,"Metro-Goldwyn-Mayer (MGM)",2022,33.53,4.13,8.12,"Defunct",NA
"37",3,"Metro-Goldwyn-Mayer (MGM)",2021,42.15,-0.79,-53.35,"Defunct",NA
"38",3,"Metro-Goldwyn-Mayer (MGM)",2020,20.45,2.53,8.08,"Defunct",NA
"39",3,"Metro-Goldwyn-Mayer (MGM)",2019,28.37,1.19,23.84,"Defunct",NA
"40",3,"Metro-Goldwyn-Mayer (MGM)",2018,28.06,2.69,10.43,"Defunct",NA
"41",3,"Metro-Goldwyn-Mayer (MGM)",2017,29.69,2.07,14.34,"Defunct",NA
"42",3,"Metro-Goldwyn-Mayer (MGM)",2016,23.34,0.28,83.36,"Defunct",NA
"43",3,"Metro-Goldwyn-Mayer (MGM)",2015,18.98,-0.32,-59.31,"Defunct",NA
"44",3,"Metro-Goldwyn-Mayer (MGM)",2014,22.74,0.03,758,"Defunct",NA
"45",3,"Metro-Goldwyn-Mayer (MGM)",2013,16.96,-2.32,-7.31,"Defunct",NA
"46",3,"Metro-Goldwyn-Mayer (MGM)",2012,11.12,-0.22,-50.55,"Defunct",NA
"47",3,"Metro-Goldwyn-Mayer (MGM)",2011,10.87,3.22,3.38,"Defunct",NA
"48",3,"Metro-Goldwyn-Mayer (MGM)",2010,11.27,-3.89,-2.9,"Defunct",NA
"49",3,"Metro-Goldwyn-Mayer (MGM)",2009,8.61,-2.9,-2.97,"Defunct",NA
"50",5,"Eastman Kodak",2025,6.67,0,0,"Defunct",NA
"51",5,"Eastman Kodak",2024,5.4,0.64,8.44,"Defunct",NA
"52",5,"Eastman Kodak",2023,4.21,0.62,6.79,"Defunct",NA
"53",5,"Eastman Kodak",2022,4.09,0.06,68.17,"Defunct",NA
"54",5,"Eastman Kodak",2021,6.92,-3.25,-2.13,"Defunct",NA
"55",5,"Eastman Kodak",2020,5.23,-5.28,-0.99,"Defunct",NA
"56",5,"Eastman Kodak",2019,3.16,2.92,1.08,"Defunct",NA
"57",5,"Eastman Kodak",2018,3.7,1.13,3.27,"Defunct",NA
"58",5,"Eastman Kodak",2017,7.76,0.5,15.52,"Defunct",NA
"59",5,"Eastman Kodak",2016,14.36,-0.06,-239.33,"Defunct",NA
"60",5,"Eastman Kodak",2015,15.99,-2.86,-5.59,"Defunct",NA
"61",5,"Eastman Kodak",2014,22.72,-1.56,-14.56,"Defunct",NA
"62",6,"Pier 1 Imports",2020,3.56,0,0,"Defunct",NA
"63",6,"Pier 1 Imports",2019,12.86,-65.06,-0.2,"Defunct",NA
"64",6,"Pier 1 Imports",2018,43.8,-10.85,-4.04,"Defunct",NA
"65",6,"Pier 1 Imports",2017,99.94,7.15,13.98,"Defunct",NA
"66",6,"Pier 1 Imports",2016,94.95,6.65,14.28,"Defunct",NA
"67",6,"Pier 1 Imports",2015,181.72,14.45,12.58,"Defunct",NA
"68",6,"Pier 1 Imports",2014,282.74,19.15,14.76,"Defunct",NA
"69",6,"Pier 1 Imports",2013,380.06,23.95,15.87,"Defunct",NA
"70",6,"Pier 1 Imports",2012,298.16,31.85,9.36,"Defunct",NA
"71",6,"Pier 1 Imports",2011,193.22,18.1,10.68,"Defunct",NA
"72",6,"Pier 1 Imports",2010,124.95,14.6,8.56,"Defunct",NA
"73",6,"Pier 1 Imports",2009,63.31,3.8,16.66,"Defunct",NA
"74",8,"BlackBerry",2025,4.47,0,0,"Defunct",NA
"75",8,"BlackBerry",2024,2.62,-0.25,-10.48,"Defunct",NA
"76",8,"BlackBerry",2023,4.62,-1.11,-4.16,"Defunct",NA
"77",8,"BlackBerry",2022,5.93,-0.55,-10.78,"Defunct",NA
"78",8,"BlackBerry",2021,10.26,-1.26,-8.14,"Defunct",NA
"79",8,"BlackBerry",2020,5.22,-1.13,-4.62,"Defunct",NA
"80",8,"BlackBerry",2019,7.25,-0.11,-65.91,"Defunct",NA
"81",8,"BlackBerry",2018,10.86,-0.28,-38.79,"Defunct",NA
"82",8,"BlackBerry",2017,9.39,-0.18,-52.17,"Defunct",NA
"83",8,"BlackBerry",2016,7.6,-2.09,-3.64,"Defunct",NA
"84",8,"BlackBerry",2015,9.04,-0.68,-13.29,"Defunct",NA
"85",8,"BlackBerry",2014,9.54,-8.58,-1.11,"Defunct",NA
"86",8,"BlackBerry",2013,10.94,-3.4,-3.22,"Defunct",NA
"87",8,"BlackBerry",2012,10.7,-0.17,-62.94,"Defunct",NA
"88",8,"BlackBerry",2011,39.85,5.6,7.12,"Defunct",NA
"89",8,"BlackBerry",2010,59.06,4.99,11.84,"Defunct",NA
"90",8,"BlackBerry",2009,57.89,3.95,14.66,"Defunct",NA
"91",8,"Netflix",2018,267.66,2.68,99.87,"Defunct",NA
"92",60,"CVS Health",2025,67.91,0,0,"Active",NA
"93",60,"CVS Health",2024,60.51,4.73,12.79,"Active",NA
"94",60,"CVS Health",2023,69.25,4.6,15.05,"Active",NA
"95",60,"CVS Health",2022,88.1,4.41,19.98,"Active",NA
"96",60,"CVS Health",2021,78.14,5.69,13.73,"Active",NA
"97",60,"CVS Health",2020,54.97,5.83,9.43,"Active",NA
"98",60,"CVS Health",2019,52.21,2.9,18,"Active",NA
"99",60,"CVS Health",2018,55.66,2.99,18.62,"Active",NA
"100",60,"CVS Health",2017,62.53,5.28,11.84,"Active",NA
"101",60,"CVS Health",2016,71.78,4.64,15.47,"Active",NA
"102",60,"CVS Health",2015,77.39,4.32,17.91,"Active",NA
"103",60,"CVS Health",2014,61.91,3.96,15.63,"Active",NA
"104",60,"CVS Health",2013,44.97,3.48,12.92,"Active",NA
"105",60,"CVS Health",2012,34.67,2.86,12.12,"Active",NA
"106",60,"CVS Health",2011,26.54,2.5,10.62,"Active",NA
"107",60,"CVS Health",2010,23.66,2.54,9.31,"Active",NA
"108",60,"CVS Health",2009,22.92,2.55,8.99,"Active",NA
"109",61,"LG Display",2025,3.25,0,0,"Active",NA
"110",61,"LG Display",2024,4.09,-2.15,-1.9,"Active",NA
"111",61,"LG Display",2023,5.54,-4.36,-1.27,"Active",NA
"112",61,"LG Display",2022,5.72,-0.67,-8.54,"Active",NA
"113",61,"LG Display",2021,9.5,1.44,6.6,"Active",NA
"114",61,"LG Display",2020,5.91,-2.49,-2.37,"Active",NA
"115",61,"LG Display",2019,7.14,-1.32,-5.41,"Active",NA
"116",61,"LG Display",2018,9.06,0.22,41.18,"Active",NA
"117",61,"LG Display",2017,13.68,2.62,5.22,"Active",NA
"118",61,"LG Display",2016,11.5,0.58,19.83,"Active",NA
"119",61,"LG Display",2015,10.8,1.73,6.24,"Active",NA
"120",61,"LG Display",2014,13.79,0.78,17.68,"Active",NA
"121",61,"LG Display",2013,11.73,0.64,18.33,"Active",NA
"122",61,"LG Display",2012,11.21,-0.51,-21.98,"Active",NA
"123",61,"LG Display",2011,11.25,-0.51,-22.06,"Active",NA
"124",61,"LG Display",2010,15.9,2.18,7.29,"Active",NA
"125",61,"LG Display",2009,15.58,1.25,12.46,"Active",NA
"126",62,"Lions Gate Entertainment",2025,9.52,0,0,"Active",NA
"127",62,"Lions Gate Entertainment",2024,8.93,-3.08,-2.9,"Active",NA
"128",62,"Lions Gate Entertainment",2023,9.82,-6.72,-1.46,"Active",NA
"129",62,"Lions Gate Entertainment",2022,9.68,-5,-1.94,"Active",NA
"130",62,"Lions Gate Entertainment",2021,16.62,-0.38,-43.74,"Active",NA
"131",62,"Lions Gate Entertainment",2020,8.59,-0.46,-18.67,"Active",NA
"132",62,"Lions Gate Entertainment",2019,11.95,-1.28,-9.34,"Active",NA
"133",62,"Lions Gate Entertainment",2018,22.71,0.96,23.66,"Active",NA
"134",62,"Lions Gate Entertainment",2017,33.26,1.49,22.32,"Active",NA
"135",63,"Walmart",2025,92.25,1.21,76.24,"Active",NA
"136",63,"Walmart",2024,65.84,2.15,30.62,"Active",NA
"137",63,"Walmart",2023,50.44,1.64,30.76,"Active",NA
"138",63,"Walmart",2022,45.56,1.48,30.78,"Active",NA
"139",63,"Walmart",2021,45.27,1.28,35.37,"Active",NA
"140",63,"Walmart",2020,39.25,1.97,19.92,"Active",NA
"141",63,"Walmart",2019,32.58,1.22,26.7,"Active",NA
"142",63,"Walmart",2018,28.72,0.81,35.46,"Active",NA
"143",63,"Walmart",2017,22.56,1.39,16.23,"Active",NA
"144",63,"Walmart",2016,19.59,1.53,12.8,"Active",NA
"145",63,"Walmart",2015,20.11,1.62,12.41,"Active",NA
"146",63,"Walmart",2014,20.45,1.62,12.62,"Active",NA
"147",63,"Walmart",2013,19.84,1.7,11.67,"Active",NA
"148",63,"Walmart",2012,17.28,1.56,11.08,"Active",NA
"149",63,"Walmart",2011,13.75,1.54,8.93,"Active",NA
"150",63,"Walmart",2010,12.93,1.29,10.02,"Active",NA
"151",63,"Walmart",2009,11.93,1.15,10.37,"Active",NA
"152",64,"Eastman Kodak",2022,6.55,0.02,327.5,"Active",NA
"153",65,"Dollar Tree",2025,64.59,0,0,"Active",NA
"154",65,"Dollar Tree",2024,104.46,-4.72,-22.13,"Active",NA
"155",65,"Dollar Tree",2023,142.33,6.04,23.56,"Active",NA
"156",65,"Dollar Tree",2022,154.38,6.62,23.32,"Active",NA
"157",65,"Dollar Tree",2021,106.03,6.04,17.55,"Active",NA
"158",65,"Dollar Tree",2020,87.6,3.67,23.87,"Active",NA
"159",65,"Dollar Tree",2019,105.06,-6.54,-16.06,"Active",NA
"160",65,"Dollar Tree",2018,96.62,7.2,13.42,"Active",NA
"161",65,"Dollar Tree",2017,80.82,3.88,20.83,"Active",NA
"162",65,"Dollar Tree",2016,83.22,2.36,35.26,"Active",NA
"163",65,"Dollar Tree",2015,72.76,2.05,35.49,"Active",NA
"164",65,"Dollar Tree",2014,54.41,2.84,19.16,"Active",NA
"165",65,"Dollar Tree",2013,49.9,2.77,18.01,"Active",NA
"166",65,"Dollar Tree",2012,45.86,2.22,20.66,"Active",NA
"167",65,"Dollar Tree",2011,31.78,1.75,18.16,"Active",NA
"168",65,"Dollar Tree",2010,21.14,1.28,16.52,"Active",NA
"169",65,"Dollar Tree",2009,15.04,1.07,14.06,"Active",NA
"170",66,"Netflix",2025,959.49,0,0,"Active",NA
"171",66,"Netflix",2024,720.7,16.98,42.44,"Active",NA
"172",66,"Netflix",2023,412.61,10.18,40.53,"Active",NA
"173",66,"Netflix",2022,269.94,10.84,24.9,"Active",NA
"174",66,"Netflix",2021,565.66,10.06,56.23,"Active",NA
"175",66,"Netflix",2020,467.82,5.79,80.8,"Active",NA
